Layout,Device,DieX,DieY,LayoutX,LayoutY,ReticleDieX,ReticleDieY,Reticle,Columns,Concentric,Grid,Radial,Rows,Sectors,ReticleShot,Radius
8PL7CV,8PL7CV,6,3,-3,-4,1,0,2,B,D,A,D,A,F,SR_X-3Y-4,135.29651
8PL7CV,8PL7CV,6,4,-3,-4,1,1,4,B,D,A,D,A,F,SR_X-3Y-4,124.289
8PL7CV,8PL7CV,5,3,-3,-4,0,0,1,A,E,A,D,A,F,SR_X-3Y-4,142.99715
8PL7CV,8PL7CV,5,6,-3,-3,0,1,3,A,C,A,D,B,E,SR_X-3Y-3,113.78726
8PL7CV,8PL7CV,6,5,-3,-3,1,0,2,B,C,A,D,A,F,SR_X-3Y-3,113.78726
8PL7CV,8PL7CV,6,6,-3,-3,1,1,4,B,C,A,A,B,F,SR_X-3Y-3,103.94469
8PL7CV,8PL7CV,5,5,-3,-3,0,0,1,A,D,A,D,A,F,SR_X-3Y-3,122.84373
8PL7CV,8PL7CV,5,8,-3,-2,0,1,3,A,C,A,A,B,E,SR_X-3Y-2,98.65586
8PL7CV,8PL7CV,6,7,-3,-2,1,0,2,B,B,A,A,B,E,SR_X-3Y-2,94.96648
8PL7CV,8PL7CV,6,8,-3,-2,1,1,4,B,B,A,A,B,E,SR_X-3Y-2,87.12025
8PL7CV,8PL7CV,5,7,-3,-2,0,0,1,A,C,A,A,B,E,SR_X-3Y-2,105.64882
8PL7CV,8PL7CV,5,10,-3,-1,0,1,3,A,B,A,A,B,E,SR_X-3Y-1,89.14658
8PL7CV,8PL7CV,6,9,-3,-1,1,0,2,B,B,A,A,B,E,SR_X-3Y-1,80.73672
8PL7CV,8PL7CV,6,10,-3,-1,1,1,4,B,B,A,A,B,E,SR_X-3Y-1,76.18445
8PL7CV,8PL7CV,5,9,-3,-1,0,0,1,A,B,A,A,B,E,SR_X-3Y-1,93.06696
8PL7CV,8PL7CV,5,12,-3,0,0,1,3,A,B,C,A,C,D,SR_X-3Y0,87.12025
8PL7CV,8PL7CV,6,11,-3,0,1,0,2,B,B,A,A,B,E,SR_X-3Y0,73.80309
8PL7CV,8PL7CV,6,12,-3,0,1,1,4,B,B,C,A,C,D,SR_X-3Y0,73.80309
8PL7CV,8PL7CV,5,11,-3,0,0,0,1,A,B,A,A,B,E,SR_X-3Y0,87.12025
8PL7CV,8PL7CV,5,14,-3,1,0,1,3,A,B,C,A,C,D,SR_X-3Y1,93.06696
8PL7CV,8PL7CV,6,13,-3,1,1,0,2,B,B,C,A,C,D,SR_X-3Y1,76.18445
8PL7CV,8PL7CV,6,14,-3,1,1,1,4,B,B,C,A,C,D,SR_X-3Y1,80.73672
8PL7CV,8PL7CV,5,13,-3,1,0,0,1,A,B,C,A,C,D,SR_X-3Y1,89.14658
8PL7CV,8PL7CV,5,16,-3,2,0,1,3,A,C,C,A,C,D,SR_X-3Y2,105.64882
8PL7CV,8PL7CV,6,15,-3,2,1,0,2,B,B,C,A,C,D,SR_X-3Y2,87.12025
8PL7CV,8PL7CV,6,16,-3,2,1,1,4,B,B,C,A,C,D,SR_X-3Y2,94.96648
8PL7CV,8PL7CV,5,15,-3,2,0,0,1,A,B,C,A,C,D,SR_X-3Y2,98.65586
8PL7CV,8PL7CV,5,18,-3,3,0,1,3,A,C,C,C,D,D,SR_X-3Y3,122.84373
8PL7CV,8PL7CV,6,17,-3,3,1,0,2,B,C,C,A,C,D,SR_X-3Y3,103.94469
8PL7CV,8PL7CV,6,18,-3,3,1,1,4,B,C,C,C,D,C,SR_X-3Y3,113.78726
8PL7CV,8PL7CV,5,17,-3,3,0,0,1,A,C,C,C,C,D,SR_X-3Y3,113.78726
8PL7CV,8PL7CV,5,20,-3,4,0,1,3,A,E,C,C,D,C,SR_X-3Y4,142.99715
8PL7CV,8PL7CV,6,19,-3,4,1,0,2,B,D,C,C,D,C,SR_X-3Y4,124.289
8PL7CV,8PL7CV,6,20,-3,4,1,1,4,B,D,C,C,D,C,SR_X-3Y4,135.29651
8PL7CV,8PL7CV,5,19,-3,4,0,0,1,A,D,C,C,D,C,SR_X-3Y4,132.63031
8PL7CV,8PL7CV,6,21,-3,5,1,0,2,B,E,C,C,D,C,SR_X-3Y5,146.69597
8PL7CV,8PL7CV,7,2,-2,-5,0,1,3,B,E,A,D,A,F,SR_X-2Y-5,140.47719
8PL7CV,8PL7CV,8,2,-2,-5,1,1,4,B,D,A,D,A,F,SR_X-2Y-5,135.29651
8PL7CV,8PL7CV,7,4,-2,-4,0,1,3,B,C,A,D,A,F,SR_X-2Y-4,116.88408
8PL7CV,8PL7CV,8,3,-2,-4,1,0,2,B,D,A,D,A,F,SR_X-2Y-4,122.84373
8PL7CV,8PL7CV,8,4,-2,-4,1,1,4,B,C,A,D,A,F,SR_X-2Y-4,110.60378
8PL7CV,8PL7CV,7,3,-2,-4,0,0,1,B,D,A,D,A,F,SR_X-2Y-4,128.52734
8PL7CV,8PL7CV,7,6,-2,-3,0,1,3,B,B,A,A,B,F,SR_X-2Y-3,94.96648
8PL7CV,8PL7CV,8,5,-2,-3,1,0,2,B,C,A,A,A,F,SR_X-2Y-3,98.65586
8PL7CV,8PL7CV,8,6,-2,-3,1,1,4,B,B,A,A,B,F,SR_X-2Y-3,87.12025
8PL7CV,8PL7CV,7,5,-2,-3,0,0,1,B,C,A,A,A,F,SR_X-2Y-3,105.64882
8PL7CV,8PL7CV,7,8,-2,-2,0,1,3,B,B,A,A,B,E,SR_X-2Y-2,76.18445
8PL7CV,8PL7CV,8,7,-2,-2,1,0,2,B,B,A,A,B,F,SR_X-2Y-2,76.18445
8PL7CV,8PL7CV,8,8,-2,-2,1,1,4,B,A,A,A,B,F,SR_X-2Y-2,66.14662
8PL7CV,8PL7CV,7,7,-2,-2,0,0,1,B,B,A,A,B,F,SR_X-2Y-2,85.04566
8PL7CV,8PL7CV,7,10,-2,-1,0,1,3,B,A,A,A,B,E,SR_X-2Y-1,63.38929
8PL7CV,8PL7CV,8,9,-2,-1,1,0,2,B,A,A,A,B,E,SR_X-2Y-1,57.47917
8PL7CV,8PL7CV,8,10,-2,-1,1,1,4,B,A,A,A,B,E,SR_X-2Y-1,50.88721
8PL7CV,8PL7CV,7,9,-2,-1,0,0,1,B,A,A,A,B,E,SR_X-2Y-1,68.79353
8PL7CV,8PL7CV,7,12,-2,0,0,1,3,B,A,C,A,C,D,SR_X-2Y0,60.50644
8PL7CV,8PL7CV,8,11,-2,0,1,0,2,B,A,A,A,B,E,SR_X-2Y0,47.24759
8PL7CV,8PL7CV,8,12,-2,0,1,1,4,B,A,C,A,C,D,SR_X-2Y0,47.24759
8PL7CV,8PL7CV,7,11,-2,0,0,0,1,B,A,A,A,B,E,SR_X-2Y0,60.50644
8PL7CV,8PL7CV,7,14,-2,1,0,1,3,B,A,C,A,C,D,SR_X-2Y1,68.79353
8PL7CV,8PL7CV,8,13,-2,1,1,0,2,B,A,C,A,C,D,SR_X-2Y1,50.88721
8PL7CV,8PL7CV,8,14,-2,1,1,1,4,B,A,C,A,C,D,SR_X-2Y1,57.47917
8PL7CV,8PL7CV,7,13,-2,1,0,0,1,B,A,C,A,C,D,SR_X-2Y1,63.38929
