Layout,Device,DieX,DieY,LayoutX,LayoutY,ReticleDieX,ReticleDieY,Reticle,Columns,Concentric,Grid,Radial,Rows,Sectors,ReticleShot,Radius
8PF6CV,8PF6CV,6,10,-5,0,0,1,4,A,C,C,C,C,D,SR_X-5Y0,109.39535
8PF6CV,8PF6CV,7,9,-5,0,1,0,2,A,C,A,A,B,E,SR_X-5Y0,103.71889
8PF6CV,8PF6CV,7,10,-5,0,1,1,5,A,C,C,A,C,D,SR_X-5Y0,102.55814
8PF6CV,8PF6CV,8,9,-5,0,2,0,3,A,C,A,A,B,E,SR_X-5Y0,96.96355
8PF6CV,8PF6CV,8,10,-5,0,2,1,6,A,C,C,A,C,D,SR_X-5Y0,95.72093
8PF6CV,8PF6CV,6,9,-5,0,0,0,1,A,C,A,D,B,E,SR_X-5Y0,110.48428
8PF6CV,8PF6CV,6,12,-5,1,0,1,4,A,C,C,C,C,D,SR_X-5Y1,113.68853
8PF6CV,8PF6CV,7,11,-5,1,1,0,2,A,C,C,A,C,D,SR_X-5Y1,103.71889
8PF6CV,8PF6CV,7,12,-5,1,1,1,5,A,C,C,C,C,D,SR_X-5Y1,107.12568
8PF6CV,8PF6CV,8,11,-5,1,2,0,3,A,C,C,A,C,D,SR_X-5Y1,96.96355
8PF6CV,8PF6CV,8,12,-5,1,2,1,6,A,C,C,A,C,D,SR_X-5Y1,100.59938
8PF6CV,8PF6CV,6,11,-5,1,0,0,1,A,C,C,C,C,D,SR_X-5Y1,110.48428
8PF6CV,8PF6CV,6,14,-5,2,0,1,4,A,D,C,C,C,D,SR_X-5Y2,125.69129
8PF6CV,8PF6CV,7,13,-5,2,1,0,2,A,C,C,C,C,D,SR_X-5Y2,112.5748
8PF6CV,8PF6CV,7,14,-5,2,1,1,5,A,D,C,C,C,D,SR_X-5Y2,119.78786
8PF6CV,8PF6CV,8,13,-5,2,2,0,3,A,C,C,C,C,D,SR_X-5Y2,106.38332
8PF6CV,8PF6CV,8,14,-5,2,2,1,6,A,C,C,C,C,D,SR_X-5Y2,113.98884
8PF6CV,8PF6CV,6,13,-5,2,0,0,1,A,D,C,C,C,D,SR_X-5Y2,118.8371
8PF6CV,8PF6CV,7,15,-5,3,1,0,2,A,D,C,C,D,D,SR_X-5Y3,128.46806
8PF6CV,8PF6CV,7,16,-5,3,1,1,5,A,E,C,C,D,D,SR_X-5Y3,138.33954
8PF6CV,8PF6CV,8,15,-5,3,2,0,3,A,D,C,C,D,D,SR_X-5Y3,123.07871
8PF6CV,8PF6CV,8,16,-5,3,2,1,6,A,D,C,C,D,D,SR_X-5Y3,133.34975
8PF6CV,8PF6CV,6,15,-5,3,0,0,1,A,D,C,C,D,D,SR_X-5Y3,133.98961
8PF6CV,8PF6CV,9,4,-4,-3,0,1,4,A,D,A,D,A,E,SR_X-4Y-3,128.53004
8PF6CV,8PF6CV,10,3,-4,-3,1,0,2,A,D,A,D,A,F,SR_X-4Y-3,135.88208
8PF6CV,8PF6CV,10,4,-4,-3,1,1,5,A,D,A,D,A,F,SR_X-4Y-3,123.90031
8PF6CV,8PF6CV,11,3,-4,-3,2,0,3,A,D,A,D,A,F,SR_X-4Y-3,131.86641
8PF6CV,8PF6CV,11,4,-4,-3,2,1,6,A,D,A,D,A,F,SR_X-4Y-3,119.48262
8PF6CV,8PF6CV,9,3,-4,-3,0,0,1,A,E,A,D,A,F,SR_X-4Y-3,140.11647
8PF6CV,8PF6CV,9,6,-4,-2,0,1,4,A,C,A,D,B,E,SR_X-4Y-2,108.311
8PF6CV,8PF6CV,10,5,-4,-2,1,0,2,A,C,A,D,B,E,SR_X-4Y-2,112.7719
8PF6CV,8PF6CV,10,6,-4,-2,1,1,5,A,C,A,A,B,E,SR_X-4Y-2,102.77445
8PF6CV,8PF6CV,11,5,-4,-2,2,0,3,A,C,A,A,B,E,SR_X-4Y-2,107.89954
8PF6CV,8PF6CV,11,6,-4,-2,2,1,6,A,C,A,A,B,E,SR_X-4Y-2,97.40327
8PF6CV,8PF6CV,9,5,-4,-2,0,0,1,A,C,A,D,B,E,SR_X-4Y-2,117.83968
