Layout,Device,DieX,DieY,LayoutX,LayoutY,ReticleDieX,ReticleDieY,Reticle,Columns,Concentric,Grid,Radial,Rows,Sectors,ReticleShot,Radius
8PF5CV,8PF5CV,4,16,-5,3,0,1,3,A,E,C,C,D,D,SR_X-5Y3,143.09593
8PF5CV,8PF5CV,5,15,-5,3,1,0,2,A,D,C,C,D,D,SR_X-5Y3,124.85941
8PF5CV,8PF5CV,5,16,-5,3,1,1,4,A,D,C,C,D,D,SR_X-5Y3,134.99503
8PF5CV,8PF5CV,4,15,-5,3,0,0,1,A,D,C,C,D,D,SR_X-5Y3,133.57643
8PF5CV,8PF5CV,6,4,-4,-3,0,1,3,A,D,A,D,A,F,SR_X-4Y-3,127.31065
8PF5CV,8PF5CV,7,3,-4,-3,1,0,2,B,D,A,D,A,F,SR_X-4Y-3,132.44673
8PF5CV,8PF5CV,7,4,-4,-3,1,1,4,B,C,A,D,A,F,SR_X-4Y-3,120.12279
8PF5CV,8PF5CV,6,3,-4,-3,0,0,1,A,D,A,D,A,F,SR_X-4Y-3,138.99876
8PF5CV,8PF5CV,6,6,-4,-2,0,1,3,A,C,A,A,B,E,SR_X-4Y-2,106.86115
8PF5CV,8PF5CV,7,5,-4,-2,1,0,2,B,C,A,A,B,F,SR_X-4Y-2,108.60801
8PF5CV,8PF5CV,7,6,-4,-2,1,1,4,B,B,A,A,B,E,SR_X-4Y-2,98.1875
8PF5CV,8PF5CV,6,5,-4,-2,0,0,1,A,C,A,D,B,E,SR_X-4Y-2,116.50845
8PF5CV,8PF5CV,6,8,-4,-1,0,1,3,A,B,A,A,B,E,SR_X-4Y-1,92.44504
8PF5CV,8PF5CV,7,7,-4,-1,1,0,2,B,B,A,A,B,E,SR_X-4Y-1,89.2454
8PF5CV,8PF5CV,7,8,-4,-1,1,1,4,B,B,A,A,B,E,SR_X-4Y-1,82.26522
8PF5CV,8PF5CV,6,7,-4,-1,0,0,1,A,B,A,A,B,E,SR_X-4Y-1,98.70795
8PF5CV,8PF5CV,6,10,-4,0,0,1,3,A,B,C,A,C,D,SR_X-4Y0,87.11111
8PF5CV,8PF5CV,7,9,-4,0,1,0,2,B,B,A,A,B,E,SR_X-4Y0,77.777
8PF5CV,8PF5CV,7,10,-4,0,1,1,4,B,B,C,A,C,D,SR_X-4Y0,76.22222
8PF5CV,8PF5CV,6,9,-4,0,0,0,1,A,B,A,A,B,E,SR_X-4Y0,88.47475
8PF5CV,8PF5CV,6,12,-4,1,0,1,3,A,B,C,A,C,D,SR_X-4Y1,92.44504
8PF5CV,8PF5CV,7,11,-4,1,1,0,2,B,B,C,A,C,D,SR_X-4Y1,77.777
8PF5CV,8PF5CV,7,12,-4,1,1,1,4,B,B,C,A,C,D,SR_X-4Y1,82.26522
8PF5CV,8PF5CV,6,11,-4,1,0,0,1,A,B,C,A,C,D,SR_X-4Y1,88.47475
8PF5CV,8PF5CV,6,14,-4,2,0,1,3,A,C,C,A,C,D,SR_X-4Y2,106.86115
8PF5CV,8PF5CV,7,13,-4,2,1,0,2,B,B,C,A,C,D,SR_X-4Y2,89.2454
8PF5CV,8PF5CV,7,14,-4,2,1,1,4,B,B,C,A,C,D,SR_X-4Y2,98.1875
8PF5CV,8PF5CV,6,13,-4,2,0,0,1,A,C,C,A,C,D,SR_X-4Y2,98.70795
8PF5CV,8PF5CV,6,16,-4,3,0,1,3,A,D,C,C,D,C,SR_X-4Y3,127.31065
8PF5CV,8PF5CV,7,15,-4,3,1,0,2,B,C,C,A,D,C,SR_X-4Y3,108.60801
8PF5CV,8PF5CV,7,16,-4,3,1,1,4,B,D,C,C,D,C,SR_X-4Y3,120.12279
8PF5CV,8PF5CV,6,15,-4,3,0,0,1,A,C,C,C,D,D,SR_X-4Y3,116.50845
8PF5CV,8PF5CV,7,17,-4,4,1,0,2,B,D,C,C,D,C,SR_X-4Y4,132.44673
8PF5CV,8PF5CV,6,17,-4,4,0,0,1,A,E,C,C,D,C,SR_X-4Y4,138.99876
8PF5CV,8PF5CV,8,2,-3,-4,0,1,3,B,E,A,D,A,F,SR_X-3Y-4,139.97241
8PF5CV,8PF5CV,9,2,-3,-4,1,1,4,B,D,A,D,A,F,SR_X-3Y-4,135.23325
8PF5CV,8PF5CV,8,4,-3,-3,0,1,3,B,C,A,D,A,F,SR_X-3Y-3,113.52577
8PF5CV,8PF5CV,9,3,-3,-3,1,0,2,B,D,A,D,A,F,SR_X-3Y-3,121.22916
8PF5CV,8PF5CV,9,4,-3,-3,1,1,4,B,C,A,A,A,F,SR_X-3Y-3,107.62831
8PF5CV,8PF5CV,8,3,-3,-3,0,0,1,B,D,A,D,A,F,SR_X-3Y-3,126.49409
8PF5CV,8PF5CV,8,6,-3,-2,0,1,3,B,B,A,A,B,E,SR_X-3Y-2,89.99668
8PF5CV,8PF5CV,9,5,-3,-2,1,0,2,B,B,A,A,B,F,SR_X-3Y-2,94.60481
8PF5CV,8PF5CV,9,6,-3,-2,1,1,4,B,B,A,A,B,F,SR_X-3Y-2,82.43274
8PF5CV,8PF5CV,8,5,-3,-2,0,0,1,B,C,A,A,B,F,SR_X-3Y-2,101.2636
8PF5CV,8PF5CV,8,8,-3,-1,0,1,3,B,B,A,A,B,E,SR_X-3Y-1,72.29235
8PF5CV,8PF5CV,9,7,-3,-1,1,0,2,B,B,A,A,B,E,SR_X-3Y-1,71.54797
8PF5CV,8PF5CV,9,8,-3,-1,1,1,4,B,A,A,A,B,E,SR_X-3Y-1,62.62537
8PF5CV,8PF5CV,8,7,-3,-1,0,0,1,B,B,A,A,B,E,SR_X-3Y-1,80.14586
8PF5CV,8PF5CV,8,10,-3,0,0,1,3,B,A,C,A,C,D,SR_X-3Y0,65.33334
8PF5CV,8PF5CV,9,9,-3,0,1,0,2,B,A,A,A,B,E,SR_X-3Y0,56.60064
8PF5CV,8PF5CV,9,10,-3,0,1,1,4,B,A,C,A,C,D,SR_X-3Y0,54.44444
8PF5CV,8PF5CV,8,9,-3,0,0,0,1,B,A,A,A,B,E,SR_X-3Y0,67.14074
8PF5CV,8PF5CV,8,12,-3,1,0,1,3,B,B,C,A,C,D,SR_X-3Y1,72.29235
8PF5CV,8PF5CV,9,11,-3,1,1,0,2,B,A,C,A,C,D,SR_X-3Y1,56.60064
8PF5CV,8PF5CV,9,12,-3,1,1,1,4,B,A,C,A,C,D,SR_X-3Y1,62.62537
8PF5CV,8PF5CV,8,11,-3,1,0,0,1,B,A,C,A,C,D,SR_X-3Y1,67.14074
8PF5CV,8PF5CV,8,14,-3,2,0,1,3,B,B,C,A,C,D,SR_X-3Y2,89.99668
8PF5CV,8PF5CV,9,13,-3,2,1,0,2,B,B,C,A,C,D,SR_X-3Y2,71.54797
8PF5CV,8PF5CV,9,14,-3,2,1,1,4,B,B,C,A,C,C,SR_X-3Y2,82.43274
8PF5CV,8PF5CV,8,13,-3,2,0,0,1,B,B,C,A,C,D,SR_X-3Y2,80.14586
8PF5CV,8PF5CV,8,16,-3,3,0,1,3,B,C,C,C,D,C,SR_X-3Y3,113.52577
8PF5CV,8PF5CV,9,15,-3,3,1,0,2,B,B,C,A,D,C,SR_X-3Y3,94.60481
8PF5CV,8PF5CV,9,16,-3,3,1,1,4,B,C,C,A,D,C,SR_X-3Y3,107.62831
8PF5CV,8PF5CV,8,15,-3,3,0,0,1,B,C,C,A,D,C,SR_X-3Y3,101.2636
8PF5CV,8PF5CV,8,18,-3,4,0,1,3,B,E,C,C,D,C,SR_X-3Y4,139.97241
8PF5CV,8PF5CV,9,17,-3,4,1,0,2,B,D,C,C,D,C,SR_X-3Y4,121.22916
8PF5CV,8PF5CV,9,18,-3,4,1,1,4,B,D,C,C,D,C,SR_X-3Y4,135.23325
8PF5CV,8PF5CV,8,17,-3,4,0,0,1,B,D,C,C,D,C,SR_X-3Y4,126.49409
