WAT naming,Device naming,Spec High,Target,Spec Low,Unit,NVL816,Naming1,Naming2,Naming
Vts_RNJ4L,Vts H156_W32 LVTN,,188,,mV,V,H156_W32,LVT,Vts H156_W32 LVTN
Isat_RNJ4L,Isat H156_W32 LVTN,,3839,,uA/um,V,H156_W32,LVT,Isat H156_W32 LVTN
Ioff_RNJ4L,Ioff H156_W32 LVTN,,6.17e-9,,A/um,V,H156_W32,LVT,Ioff H156_W32 LVTN
Vts_RPJ4L,Vts H156_W32 LVTP,,191,,mV,V,H156_W32,LVT,Vts H156_W32 LVTP
Isat_RPJ4L,Isat H156_W32 LVTP,,3625,,uA/um,V,H156_W32,LVT,Isat H156_W32 LVTP
Ioff_RPJ4L,Ioff H156_W32 LVTP,,0.000000006,,A/um,V,H156_W32,LVT,Ioff H156_W32 LVTP
Vts_RNJ4B,Vts H156_W32 LLLN,,225,,mV,V,H156_W32,LLL,Vts H156_W32 LLLN
Isat_RNJ4B,Isat H156_W32 LLLN,,3389,,uA/um,V,H156_W32,LLL,Isat H156_W32 LLLN
Ioff_RNJ4B,Ioff H156_W32 LLLN,,1.79e-9,,A/um,V,H156_W32,LLL,Ioff H156_W32 LLLN
Vts_RPJ4B,Vts H156_W32 LLLP,,225,,mV,V,H156_W32,LLL,Vts H156_W32 LLLP
Isat_RPJ4B,Isat H156_W32 LLLP,,3289,,uA/um,V,H156_W32,LLL,Isat H156_W32 LLLP
Ioff_RPJ4B,Ioff H156_W32 LLLP,,2.05e-9,,A/um,V,H156_W32,LLL,Ioff H156_W32 LLLP
Vts_RNJ4S,Vts H156_W32 SVTN,,258,,mV,V,H156_W32,SVT,Vts H156_W32 SVTN
Isat_RNJ4S,Isat H156_W32 SVTN,,2947,,uA/um,V,H156_W32,SVT,Isat H156_W32 SVTN
Ioff_RNJ4S,Ioff H156_W32 SVTN,,6.38e-10,,A/um,V,H156_W32,SVT,Ioff H156_W32 SVTN
Vts_RPJ4S,Vts H156_W32 SVTP,,262,,mV,V,H156_W32,SVT,Vts H156_W32 SVTP
Isat_RPJ4S,Isat H156_W32 SVTP,,2866,,uA/um,V,H156_W32,SVT,Isat H156_W32 SVTP
Ioff_RPJ4S,Ioff H156_W32 SVTP,,7.31e-10,,A/um,V,H156_W32,SVT,Ioff H156_W32 SVTP
Vts_RNK4e,Vts H156_NPN eLVN,,79,,mV,,H156_NPN,eLV,Vts H156_NPN eLVN
Isat_RNK4e,Isat H156_NPN eLVN,,5046,,uA/um,,H156_NPN,eLV,Isat H156_NPN eLVN
Ioff_RNK4e,Ioff H156_NPN eLVN,,0.000000244,,A/um,,H156_NPN,eLV,Ioff H156_NPN eLVN
Vts_RPK4e,Vts H156_NPN eLVP,,69,,mV,,H156_NPN,eLV,Vts H156_NPN eLVP
Isat_RPK4e,Isat H156_NPN eLVP,,4487,,uA/um,,H156_NPN,eLV,Isat H156_NPN eLVP
Ioff_RPK4e,Ioff H156_NPN eLVP,,0.000000357,,A/um,,H156_NPN,eLV,Ioff H156_NPN eLVP
Vts_RNK4u,Vts H156_NPN uLVN,,113,,mV,V,H156_NPN,uLV,Vts H156_NPN uLVN
Isat_RNK4u,Isat H156_NPN uLVN,,4689,,uA/um,V,H156_NPN,uLV,Isat H156_NPN uLVN
Ioff_RNK4u,Ioff H156_NPN uLVN,,0.0000000781,,A/um,V,H156_NPN,uLV,Ioff H156_NPN uLVN
Vts_RPK4u,Vts H156_NPN uLVP,,110,,mV,V,H156_NPN,uLV,Vts H156_NPN uLVP
Isat_RPK4u,Isat H156_NPN uLVP,,4155,,uA/um,V,H156_NPN,uLV,Isat H156_NPN uLVP
Ioff_RPK4u,Ioff H156_NPN uLVP,,0.0000000956,,A/um,V,H156_NPN,uLV,Ioff H156_NPN uLVP
Vts_RNK4A,Vts H156_NPN uLLN,,152,,mV,,H156_NPN,uLL,Vts H156_NPN uLLN
Isat_RNK4A,Isat H156_NPN uLLN,,4269,,uA/um,,H156_NPN,uLL,Isat H156_NPN uLLN
Ioff_RNK4A,Ioff H156_NPN uLLN,,0.0000000215,,A/um,,H156_NPN,uLL,Ioff H156_NPN uLLN
Vts_RPK4A,Vts H156_NPN uLLP,,146,,mV,,H156_NPN,uLL,Vts H156_NPN uLLP
Isat_RPK4A,Isat H156_NPN uLLP,,3867,,uA/um,,H156_NPN,uLL,Isat H156_NPN uLLP
Ioff_RPK4A,Ioff H156_NPN uLLP,,0.0000000288,,A/um,,H156_NPN,uLL,Ioff H156_NPN uLLP
Vts_RNK4L,Vts H156_NPN LVTN,,185,,mV,,H156_NPN,LVT,Vts H156_NPN LVTN
Isat_RNK4L,Isat H156_NPN LVTN,,3853,,uA/um,,H156_NPN,LVT,Isat H156_NPN LVTN
Ioff_RNK4L,Ioff H156_NPN LVTN,,7.03e-9,,A/um,,H156_NPN,LVT,Ioff H156_NPN LVTN
Vts_RPK4L,Vts H156_NPN LVTP,,181,,mV,,H156_NPN,LVT,Vts H156_NPN LVTP
Isat_RPK4L,Isat H156_NPN LVTP,,3523,,uA/um,,H156_NPN,LVT,Isat H156_NPN LVTP
Ioff_RPK4L,Ioff H156_NPN LVTP,,9.46e-9,,A/um,,H156_NPN,LVT,Ioff H156_NPN LVTP
Vts_RNK4B,Vts H156_NPN LLLN,,223,,mV,,H156_NPN,LLL,Vts H156_NPN LLLN
Isat_RNK4B,Isat H156_NPN LLLN,,3397,,uA/um,,H156_NPN,LLL,Isat H156_NPN LLLN
Ioff_RNK4B,Ioff H156_NPN LLLN,,2.07e-9,,A/um,,H156_NPN,LLL,Ioff H156_NPN LLLN
Vts_RPK4B,Vts H156_NPN LLLP,,215,,mV,,H156_NPN,LLL,Vts H156_NPN LLLP
Isat_RPK4B,Isat H156_NPN LLLP,,3205,,uA/um,,H156_NPN,LLL,Isat H156_NPN LLLP
Ioff_RPK4B,Ioff H156_NPN LLLP,,3.12e-9,,A/um,,H156_NPN,LLL,Ioff H156_NPN LLLP
Vts_RNK4S,Vts H156_NPN SVTN,,258,,mV,,H156_NPN,SVT,Vts H156_NPN SVTN
Isat_RNK4S,Isat H156_NPN SVTN,,2922,,uA/um,,H156_NPN,SVT,Isat H156_NPN SVTN
Ioff_RNK4S,Ioff H156_NPN SVTN,,6.84e-10,,A/um,,H156_NPN,SVT,Ioff H156_NPN SVTN
Vts_RPK4S,Vts H156_NPN SVTP,,252,,mV,,H156_NPN,SVT,Vts H156_NPN SVTP
Isat_RPK4S,Isat H156_NPN SVTP,,2770,,uA/um,,H156_NPN,SVT,Isat H156_NPN SVTP
Ioff_RPK4S,Ioff H156_NPN SVTP,,1.07e-9,,A/um,,H156_NPN,SVT,Ioff H156_NPN SVTP
Vts_GAA,Vts HD PG,,281,,mV,V,HD,PG,Vts HD PG
Isat_GAA,Isat HD PG,,37.2,,uA/ea,V,HD,PG,Isat HD PG
Vts_DAA,Vts HD PD,,286,,mV,V,HD,PD,Vts HD PD
Isat_DAA,Isat HD PD,,36.4,,uA/ea,V,HD,PD,Isat HD PD
Vts_UAA,Vts HD PU,,275,,mV,V,HD,PU,Vts HD PU
Isat_UAA,Isat HD PU,,25.6,,uA/ea,V,HD,PU,Isat HD PU
Isat_CAA,Isat HD Cell,,20,,uA/cell,V,HD Cell,,Isat HD Cell
Isb_CA,Isb HD Cell,,2.66e-11,,A/cell,V,HD Cell,,Isb HD Cell
Vts_GBA,Vts HC PG,,268,,mV,V,HC,PG,Vts HC PG
Isat_GBA,Isat HC PG,,81.2,,uA/ea,V,HC,PG,Isat HC PG
Vts_DBA,Vts HC PD,,270,,mV,V,HC,PD,Vts HC PD
Isat_DBA,Isat HC PD,,80.6,,uA/ea,V,HC,PD,Isat HC PD
Vts_UBA,Vts HC PU,,275,,mV,V,HC,PU,Vts HC PU
Isat_UBA,Isat HC PU,,25.6,,uA/ea,V,HC,PU,Isat HC PU
